Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T
5;I;0.361904;2.96098;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.205353;2.6896;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;2.86761;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.352269;5.35801;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.604296;5.08366;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.881683;5.09941;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.43301;5.29811;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;2.14798;5.69179;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.35773;10.8706;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.930572;10.236;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;1.81616;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;2.96681;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;5.18905;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;9.29004;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;14.4962;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0286438;18.6322;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;27.469;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0593523;2.91638;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0593523;5.10227;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0593523;8.92655;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0562341;14.0826;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0593523;18.1107;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0577722;26.9944;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.119709;5.13248;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.119709;9.39772;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.113419;14.0036;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.119709;18.4239;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.116522;27.1543;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.216739;5.03956;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.210969;9.22758;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.210969;13.7578;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.210969;17.6831;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.205353;26.9717;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.352269;10.2706;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.352269;13.8198;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.352269;20.3685;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.361904;28.0463;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.604296;10.5515;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.588208;15.3776;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.620824;18.6741;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.604296;28.8134;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.881683;15.2528;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;1.35773;0.0860142;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;1.39486;0.132754;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.14798;0.0853639;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.0908;0.134746;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.0908;0.235676;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.0908;0.46752;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.0908;0.817707;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.96931;0.0895923;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.96931;0.14306;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.96931;0.244584;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;3.05053;0.386182;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.96931;0.929788;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;3.05053;1.74216;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.96931;2.94438;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0292726;0.0872561;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0283988;0.138315;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0291817;0.248045;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0299846;0.462293;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0290666;0.937134;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0292896;1.8429;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0292525;2.83316;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0597918;0.0864505;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0591369;0.139251;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0596093;0.249795;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0589346;0.454945;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0582491;0.922758;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.058699;1.84342;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.122124;0.0863291;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.120799;0.135925;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.12177;0.243966;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.121559;0.458411;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.119004;0.937398;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.207638;0.0867426;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.207375;0.138704;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.20707;0.243281;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.208724;0.453923;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.366975;0.0845283;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.362974;0.139408;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.611988;0.0875509;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.623185;0.137966;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.616326;0.242189;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.603533;0.466076;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.614218;0.947197;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.369517;0.244721;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.383464;0.442958;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.35428;0.927178;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.204348;0.907327;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.963256;0.0865721;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.916796;0.139565;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.933372;0.243144;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.914142;0.450365;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.38651;0.245963;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.115391;1.80193;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.123294;2.92788;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.211994;1.85694;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.209694;2.96931;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.364066;1.8126;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.360135;2.87649;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.363031;5.45221;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.619158;1.83773;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.612472;2.91802;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.599759;5.61552;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.928759;1.84653;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.901179;2.97684;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.917376;5.51695;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.39788;0.459443;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.36879;0.933716;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.37973;1.91364;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.39163;2.94687;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.37617;5.58875;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;1.40349;0.0861836;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;1.38848;0.135811;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.20906;0.0858693;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.16446;0.137462;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.12009;0.25085;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.15843;0.450998;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.13399;0.945601;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;2.1304;1.938;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;3.06681;0.0867914;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;3.06309;0.147801;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
1;DB;3.08936;0.244103;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294754;5.61394;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294226;10.2245;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0293885;15.2442;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0293622;20.4144;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0293375;27.3304;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0597666;2.85795;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0596502;5.66466;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0589781;10.1615;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0594807;15.1588;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0594305;20.4604;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0593805;27.6083;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.121931;4.97762;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.121693;10.1017;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.120392;14.9556;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.120297;20.0335;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.120195;27.2537;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.20731;5.66785;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.206993;10.0989;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.212856;15.0738;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
