0.0025	0.08294
0.003	0.08328
0.0035	0.08358
0.004	0.08382
0.0045	0.08401
0.005	0.08416
0.0055	0.08427
0.006	0.08436
0.0065	0.08443
0.007	0.08447
0.0075	0.0845
0.008	0.08452
0.0085	0.08453
0.009	0.08452
0.0095	0.08451
0.01	0.08449
0.0105	0.08446
0.011	0.08443
0.016	0.08394
0.021	0.08331
0.026	0.08267
0.031	0.08204
0.036	0.08143
0.041	0.08085
0.046	0.08029
0.051	0.07976
0.056	0.07926
0.061	0.07877
0.066	0.07831
0.071	0.07888
0.076	0.08035
0.081	0.08173
0.086	0.08305
0.091	0.0843
0.096	0.0855
0.101	0.08665
0.151	0.09597
0.201	0.1028
0.251	0.10814
0.301	0.11247
0.351	0.11608
0.401	0.11914
0.451	0.12177
0.501	0.12403
0.551	0.12601
0.601	0.12774
0.651	0.12926
0.701	0.1306
0.751	0.13178
0.801	0.13282
0.851	0.13374
0.901	0.13455
0.951	0.13525
1.001	0.13587
1.501	0.13851
2.001	0.13725
2.501	0.13393
3.001	0.1294
3.501	0.12412
4.001	0.11838
4.501	0.11238
5.001	0.10625
5.501	0.10007
6.001	0.09393
6.501	0.08787
7.001	0.08193
7.501	0.07616
8.001	0.07057
8.501	0.0652
9.001	0.06005
9.501	0.05514
10.001	0.05048
15.001	0.01811
20.001	0.00445
25.001	0.00089
