0	0
0.001	1.2683
0.0015	1.30057
0.002	1.32707
0.0025	1.34991
0.003	1.37017
0.0035	1.38849
0.004	1.40529
0.0045	1.42085
0.005	1.43539
0.0055	1.44905
0.006	1.46196
0.0065	1.47422
0.007	1.48589
0.0075	1.49705
0.008	1.50775
0.0085	1.51803
0.009	1.52793
0.0095	1.53748
0.01	1.54671
0.015	1.62579
0.02	1.68876
0.025	1.74173
0.03	1.78774
0.035	1.82858
0.04	1.8654
0.045	1.89898
0.05	1.92988
0.055	1.95854
0.06	1.98526
0.065	2.01031
0.07	2.03389
0.075	2.05617
0.08	2.07728
0.085	2.09735
0.09	2.11647
0.095	2.13473
0.1	2.15219
0.15	2.29431
0.2	2.39749
0.25	2.47688
0.3	2.53994
0.35	2.59099
0.4	2.63276
0.45	2.6671
0.5	2.69534
0.55	2.71847
0.6	2.73724
0.65	2.75224
0.7	2.76394
0.75	2.77273
0.8	2.77892
0.85	2.78277
0.9	2.78452
0.95	2.78436
1	2.78244
1.5	2.69166
2	2.51582
2.5	2.30769
3	2.76923
3.5	3.23077
4	3.69231
4.5	4.15385
5	4.61538
5.5	5.07692
6	5.53846
6.5	6
7	6.46154
7.5	6.92308
8	7.38462
8.5	7.84615
9	8.30769
9.5	8.76923
10	9.23077
15	13.84615
20	18.46154
25	23.07692
30	27.69231
35	32.30769
40	36.92308
45	41.53846
50	46.15385
55	50.76923
60	55.38462
65	60
70	64.61538
75	69.23077
80	73.84615
85	78.46154
90	83.07692
95	87.69231

